cycle,bootstrap,component,A,G,AG
0506,17,IC2,0.030508570270111977,0.04434239133963777,-0.0394134160504132
0506,17,IC3,0.06776251731100719,0.07171522426378296,-0.03684686217188353
0506,18,IC1,0.05231409332631015,0.09263308321088809,-0.06415238305158438
0506,18,IC2,0.0018750283519092647,0.020749799033405226,-0.030253358704901978
0506,18,IC3,0.14051029777975524,0.0877341946919718,-0.0329323499762494
0506,19,IC1,0.04531339650876427,0.022133381354756475,-0.05096294677125822
0506,19,IC2,-0.02595741977016661,-9.58679952961436e-05,-0.003677449251798085
0506,19,IC3,0.16212144891461916,0.08495908157711607,-0.050403602481044016
0506,20,IC1,0.0680673091638138,0.0015118024789990032,-0.05511635793534379
0506,20,IC2,0.03002225085148711,0.05472410580073289,-0.027355516106446875
0506,20,IC3,0.1609215509046267,0.10134269275238308,-0.04253640498210497
0506,21,IC1,9.267126359901491e-05,-0.03269127625311087,0.05549265386532034
0506,21,IC2,0.019227350199958394,0.07087259695961674,-0.09656530813785241
0506,21,IC3,0.08254629622598893,0.09023294180928508,-0.09401845107778287
0506,22,IC1,0.08421519215475272,0.05092934028347786,-0.11062751543267962
0506,22,IC2,0.0571813652040675,-0.013089413106427743,-0.0771691066095147
0506,22,IC3,0.12475685817405549,0.07922002535018412,-0.13102324952404
0506,23,IC1,0.1563465162943562,0.03975491786222948,-0.05281148637421884
0506,23,IC2,0.0447449336747123,0.019028137262490627,0.008596493579263752
0506,23,IC3,0.12807661008052695,0.0795136950875169,-0.1207352307374904
0506,24,IC1,-0.007229093446922057,0.07708448128151155,-0.0362597929975217
0506,24,IC2,0.0195634857509394,0.01934461403220382,0.006844584761227741
0506,24,IC3,0.12016446347930215,0.06910489565138718,-0.05119491815161083
0506,25,IC1,0.06671644918968744,0.016777786759000386,-0.027382523427888338
0506,25,IC2,0.11915087943813978,0.03899727966079669,-0.08329970906864234
0506,25,IC3,0.1569573311798425,0.0675276539894045,-0.06334704947193774
0506,26,IC1,0.06205630769758829,0.033789595249133234,-0.07107306079979439
0506,26,IC2,0.003337843214334387,0.03253051137115214,-0.0255629236330008
0506,26,IC3,0.0789345324119518,0.07306801603253857,-0.07661007877516998
